"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"153",13344,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13344040,13344010
"154",13371,10,12,4,6,5,6,1,1,2,1,2,2,2,1,1,2,2,3,3,2,2,2,13371010,13371012
"155",13371,12,10,2,2,2,4,2,4,3,3,4,4,2,2,3,2,3,3,3,3,3,2,13371012,13371010
"156",13418,10,11,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,1,1,2,3,13418010,13418011
"157",13465,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13465010,13465040
"158",13465,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13465040,13465010
"159",13552,20,30,1,2,2,5,1,1,2,2,2,1,3,1,2,4,3,2,3,3,3,3,13552020,13552030
"160",13552,30,20,4,5,5,5,2,2,2,1,3,2,2,1,1,4,3,4,3,2,2,2,13552030,13552020
"161",13590,30,40,2,6,5,6,1,1,1,1,1,1,3,1,2,2,4,3,2,2,3,2,13590030,13590040
"162",13590,40,30,3,5,5,5,3,2,5,2,3,3,2,1,3,3,2,4,3,3,3,2,13590040,13590030
"163",13600,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13600010,13600020
"164",13600,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13600020,13600010
"165",13635,10,20,4,5,4,4,3,4,4,4,4,3,2,1,2,3,3,3,3,2,2,2,13635010,13635020
"166",13635,20,10,1,6,6,6,1,1,1,1,1,1,2,1,2,4,3,2,3,1,1,2,13635020,13635010
"167",13637,40,10,1,5,5,5,1,1,1,1,1,1,2,2,1,4,4,4,3,1,3,2,13637040,13637010
"168",13671,10,20,1,1,6,1,3,3,3,1,1,1,2,1,1,4,2,4,4,1,1,1,13671010,13671020
"169",13671,20,10,1,6,6,6,1,1,1,1,1,1,1,1,1,3,3,4,4,1,1,1,13671020,13671010
"170",13678,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13678010,13678040
"171",13678,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13678040,13678010
"172",13734,10,20,1,6,5,6,2,1,2,2,1,1,1,1,1,3,3,4,3,1,2,1,13734010,13734020
"173",13734,20,10,5,6,5,6,5,6,6,6,4,5,1,1,1,4,4,4,4,1,1,1,13734020,13734010
"174",13738,10,20,5,5,2,5,2,2,4,1,3,1,2,1,1,4,3,3,3,1,1,2,13738010,13738020
"175",13738,20,10,1,5,5,5,2,2,2,1,2,2,1,1,2,4,3,4,3,1,1,1,13738020,13738010
"176",13753,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13753010,13753020
"177",13753,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13753020,13753010
"178",13784,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13784010,13784040
"179",13784,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13784040,13784010
"180",13808,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13808010,13808011
"181",13808,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13808011,13808010
"182",13814,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13814010,13814040
"183",13814,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13814040,13814010
"184",13816,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13816010,13816040
